Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.81      3.45     3.45 396526184     0.00     0.00  operator-(b2Vec2 const&, b2Vec2 const&)
                0.00    0.00    1856/26634802     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [150]
                0.00    0.00    2160/26634802     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [147]
                0.00    0.00    2400/26634802     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00    2400/26634802     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    2784/26634802     b2Simplex::GetClosestPoint() const [149]
                0.00    0.00    5568/26634802     b2Sweep::GetTransform(b2Transform*, float) const [144]
                0.00    0.00    8640/26634802     b2ContactSolver::SolveVelocityConstraints() [135]
                0.02    0.00 2000172/26634802     b2DynamicTree::CreateProxy(b2AABB const&, void*) [45]
                0.02    0.00 2004128/26634802     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [34]
                0.06    0.01 6600000/26634802     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [22]
                0.15    0.03 16000012/26634802     ComputeCentroid(b2Vec2 const*, int) [10]
[23]     1.4    0.25    0.05 26634802         operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.05    0.00 26634802/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                0.00    0.00    1856/170454926     b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [177]
                0.00    0.00    4320/170454926     b2ContactSolver::SolveVelocityConstraints() [135]
                0.00    0.00   11136/170454926     float b2Clamp<float>(float, float, float) [155]
                0.00    0.00  800000/170454926     cs296::base_sim_t::step(cs296::settings_t*) [27]
                0.29    0.00 169637614/170454926     b2Max(b2Vec2 const&, b2Vec2 const&) [4]
[24]     1.4    0.30    0.00 170454926         float b2Max<float>(float, float) [24]
-----------------------------------------------
                0.00    0.00    1080/30047928     b2ContactSolver::WarmStart() [156]
                0.00    0.00    2400/30047928     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00    2400/30047928     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    2784/30047928     b2Simplex::GetSearchDirection() const [152]
                0.00    0.00    6480/30047928     b2ContactSolver::InitializeVelocityConstraints() [145]
                0.00    0.00    7424/30047928     b2Simplex::Solve3() [142]
                0.00    0.00    8064/30047928     b2ContactSolver::SolvePositionConstraints() [141]
                0.00    0.00   17280/30047928     b2ContactSolver::SolveVelocityConstraints() [135]
                0.07    0.00 8000006/30047928     ComputeCentroid(b2Vec2 const*, int) [10]
                0.19    0.00 22000010/30047928     b2PolygonShape::Set(b2Vec2 const*, int) [5]
[25]     1.2    0.26    0.00 30047928         b2Cross(b2Vec2 const&, b2Vec2 const&) [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     1.1    0.00    0.24                 main [26]
                0.01    0.22  100000/100000      cs296::base_sim_t::step(cs296::settings_t*) [27]
                0.00    0.00       1/1           cs296::dominos_t::create() [133]
                0.00    0.00       1/3           cs296::base_sim_t::base_sim_t() [126]
                0.00    0.00       1/2           cs296::settings_t::settings_t() [200]
                0.00    0.00  100000/100000      cs296::base_sim_t::get_world() [214]
                0.00    0.00  100000/200000      b2World::GetProfile() const [213]
                0.00    0.00       1/2           cs296::base_sim_t::~base_sim_t() [226]
-----------------------------------------------
                0.01    0.22  100000/100000      main [26]
[27]     1.1    0.01    0.22  100000         cs296::base_sim_t::step(cs296::settings_t*) [27]
                0.13    0.09  100000/100000      cs296::dominos_t::check() [28]
                0.00    0.00  800000/170454926     float b2Max<float>(float, float) [24]
                0.00    0.00  100000/100000      b2World::SetWarmStarting(bool) [216]
                0.00    0.00  100000/100000      b2World::SetContinuousPhysics(bool) [217]
                0.00    0.00  100000/100000      b2World::SetSubStepping(bool) [215]
                0.00    0.00  100000/200000      b2World::GetProfile() const [213]
-----------------------------------------------
                0.13    0.09  100000/100000      cs296::base_sim_t::step(cs296::settings_t*) [27]
[28]     1.0    0.13    0.09  100000         cs296::dominos_t::check() [28]
                0.01    0.03 2000000/4000274     b2PolygonShape::b2PolygonShape() [46]
                0.02    0.00 8000000/10017842     b2Vec2::Set(float, float) [74]
                0.00    0.01 2000000/2000118     b2FixtureDef::b2FixtureDef() [127]
                0.01    0.00 2000000/3200142     b2Fixture::GetFilterData() const [105]
                0.01    0.00 8000000/575932669     b2Vec2::b2Vec2() [17]
                0.00    0.00 2000000/4000170     b2PolygonShape::~b2PolygonShape() [125]
                0.00    0.00 2000000/10700000     b2Body::GetFixtureList() [81]
                0.00    0.00 6400000/6400084     b2Body::GetPosition() const [209]
                0.00    0.00 2000000/4000000     b2Joint::GetBodyB() [211]
                0.00    0.00 2000000/2000000     std::abs(float) [212]
-----------------------------------------------
                                                 <spontaneous>
[29]     1.0    0.21    0.01                 b2World::Solve(b2TimeStep const&) [29]
                0.01    0.00    1530/1717        b2Body::SetAwake(bool) [101]
-----------------------------------------------
                                                 <spontaneous>
[30]     1.0    0.17    0.05                 b2World::DrawDebugData() [30]
                0.03    0.00 10600000/12600000     b2Color::b2Color(float, float, float) [73]
                0.02    0.00 8700000/10700000     b2Body::GetFixtureList() [81]
                0.01    0.00 8700000/12703000     b2Body::GetTransform() const [103]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.8    0.18    0.00                 b2TreeNode::IsLeaf() const [31]
-----------------------------------------------
                0.00    0.00     540/14700328     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [154]
                0.00    0.00     928/14700328     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [153]
                0.00    0.00    2160/14700328     b2ContactSolver::WarmStart() [156]
                0.00    0.00    2400/14700328     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00    2400/14700328     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    3240/14700328     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [147]
                0.00    0.00    3712/14700328     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [150]
                0.00    0.00    5568/14700328     b2Simplex::GetClosestPoint() const [149]
                0.00    0.00    6048/14700328     b2ContactSolver::SolvePositionConstraints() [141]
                0.00    0.00    7470/14700328     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.00    0.00   11136/14700328     b2Sweep::GetTransform(b2Transform*, float) const [144]
                0.00    0.00   25920/14700328     b2ContactSolver::SolveVelocityConstraints() [135]
                0.00    0.00   28800/14700328     b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [137]
                0.06    0.01 6600000/14700328     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [22]
                0.08    0.02 8000006/14700328     ComputeCentroid(b2Vec2 const*, int) [10]
[32]     0.8    0.14    0.03 14700328         operator*(float, b2Vec2 const&) [32]
                0.03    0.00 14700328/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.7    0.11    0.05                 b2World::SolveTOI(b2TimeStep const&) [33]
                0.02    0.00 10000000/25204430     b2Fixture::GetBody() [52]
                0.02    0.00 5000000/10000050     b2Contact::GetFixtureB() [75]
                0.01    0.00 5000000/10000050     b2Contact::GetFixtureA() [82]
                0.00    0.00    1856/10605936     b2Fixture::GetShape() [97]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.7    0.10    0.05                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [34]
                0.02    0.00 2004128/26634802     operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.02    0.00 2004128/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.00    0.00 2004128/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.6    0.14    0.00                 b2DynamicTree::RemoveLeaf(int) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.6    0.14    0.00                 b2Body::IsAwake() const [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.6    0.07    0.07                 b2World::DrawJoint(b2Joint*) [37]
                0.04    0.00 6000000/6000000     debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [63]
                0.02    0.00 2000000/2000000     b2Joint::GetBodyA() [83]
                0.00    0.00 2000000/12600000     b2Color::b2Color(float, float, float) [73]
                0.00    0.00 4000000/12703000     b2Body::GetTransform() const [103]
                0.00    0.00 2000000/4000000     b2Joint::GetBodyB() [211]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.6    0.13    0.00                 b2Vec2::LengthSquared() const [38]
-----------------------------------------------
                0.00    0.00       3/44106951     cs296::base_sim_t::base_sim_t() [126]
                0.00    0.00    4080/44106951     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [159]
                0.06    0.06 44102868/44106951     b2DynamicTree::InsertLeaf(int) [9]
[39]     0.6    0.06    0.06 44106951         b2AABB::b2AABB() [39]
                0.06    0.00 88213902/575932669     b2Vec2::b2Vec2() [17]
-----------------------------------------------
                0.00    0.00     600/12116278     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00     928/12116278     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [153]
                0.00    0.00     928/12116278     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [165]
                0.00    0.00    1080/12116278     b2ContactSolver::InitializeVelocityConstraints() [145]
                0.00    0.00    1200/12116278     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    1856/12116278     b2Simplex::Solve2() [160]
                0.00    0.00    2016/12116278     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [158]
                0.00    0.00    2160/12116278     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [147]
                0.00    0.00    2160/12116278     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [162]
                0.00    0.00    2160/12116278     b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [163]
                0.00    0.00    2700/12116278     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [154]
                0.00    0.00    3060/12116278     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.00    0.00    8640/12116278     b2ContactSolver::SolveVelocityConstraints() [135]
                0.00    0.00    9600/12116278     b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [137]
                0.00    0.00   11136/12116278     b2Simplex::Solve3() [142]
                0.00    0.00   32640/12116278     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [136]
                0.00    0.00   33408/12116278     b2DistanceProxy::GetSupport(b2Vec2 const&) const [140]
                0.12    0.00 12000006/12116278     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [20]
[40]     0.6    0.12    0.00 12116278         b2Dot(b2Vec2 const&, b2Vec2 const&) [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.5    0.00    0.11                 __libc_csu_init [41]
                0.11    0.00       1/1           __static_initialization_and_destruction_0(int, int) [42]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [132]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [191]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [228]
-----------------------------------------------
                                   1             __static_initialization_and_destruction_0(int, int) [42]
                0.11    0.00       1/1           __libc_csu_init [41]
[42]     0.5    0.11    0.00       1+1       __static_initialization_and_destruction_0(int, int) [42]
                0.00    0.00       1/2           cs296::settings_t::settings_t() [200]
                0.00    0.00       1/575932669     b2Vec2::b2Vec2() [17]
                                   1             __static_initialization_and_destruction_0(int, int) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.4    0.06    0.03                 b2Body::ResetMassData() [43]
                0.02    0.00 2000000/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.01    0.00 2000000/10025002     b2Vec2::operator+=(b2Vec2 const&) [56]
                0.00    0.00 2000000/14703094     b2Vec2::SetZero() [102]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.4    0.04    0.05                 b2ContactManager::Collide() [44]
                0.02    0.00 10000000/25204430     b2Fixture::GetBody() [52]
                0.02    0.00 5000000/10000050     b2Contact::GetFixtureB() [75]
                0.01    0.00 5000000/10000050     b2Contact::GetFixtureA() [82]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.4    0.04    0.05                 b2DynamicTree::CreateProxy(b2AABB const&, void*) [45]
                0.02    0.00 2000172/26634802     operator+(b2Vec2 const&, b2Vec2 const&) [23]
                0.02    0.00 2000172/396526184     operator-(b2Vec2 const&, b2Vec2 const&) [2]
                0.00    0.00 2000172/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                0.00    0.00      66/4000274     cs296::dominos_t::dominos_t() [128]
                0.01    0.03 2000000/4000274     cs296::dominos_t::check() [28]
                0.02    0.03 2000208/4000274     b2PolygonShape::Clone(b2BlockAllocator*) const [55]
[46]     0.4    0.03    0.05 4000274         b2PolygonShape::b2PolygonShape() [46]
                0.05    0.00 68004658/575932669     b2Vec2::b2Vec2() [17]
                0.00    0.00 4000274/14703094     b2Vec2::SetZero() [102]
                0.00    0.00 4000274/4000282     b2Shape::b2Shape() [210]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.4    0.08    0.00                 b2Body::DestroyFixture(b2Fixture*) [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.4    0.08    0.00                 b2BroadPhase::UnBufferMove(int) [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.3    0.08    0.00                 b2BlockAllocator::Free(void*, int) [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.3    0.07    0.00                 b2Fixture::Create(b2BlockAllocator*, b2Body*, b2FixtureDef const*) [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.3    0.07    0.00                 b2Vec2::Normalize() [51]
-----------------------------------------------
                0.00    0.00    1080/25204430     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [172]
                0.00    0.00    3000/25204430     b2Contact::Update(b2ContactListener*) [143]
                0.01    0.00 5200350/25204430     b2ContactManager::AddPair(void*, void*) [79]
                0.02    0.00 10000000/25204430     b2ContactManager::Collide() [44]
                0.02    0.00 10000000/25204430     b2World::SolveTOI(b2TimeStep const&) [33]
[52]     0.3    0.06    0.00 25204430         b2Fixture::GetBody() [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.3    0.06    0.00                 b2BlockAllocator::Allocate(int) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.3    0.06    0.00                 b2Fixture::GetType() const [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.2    0.01    0.04                 b2PolygonShape::Clone(b2BlockAllocator*) const [55]
                0.02    0.03 2000208/4000274     b2PolygonShape::b2PolygonShape() [46]
-----------------------------------------------
                0.00    0.00     540/10025002     b2ContactSolver::WarmStart() [156]
                0.00    0.00     600/10025002     b2PrismaticJoint::InitVelocityConstraints(b2SolverData const&) [148]
                0.00    0.00     600/10025002     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00    2016/10025002     b2ContactSolver::SolvePositionConstraints() [141]
                0.00    0.00    3000/10025002     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.00    0.00    8640/10025002     b2ContactSolver::SolveVelocityConstraints() [135]
                0.00    0.00    9600/10025002     b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [137]
                0.01    0.00 2000000/10025002     b2Body::ResetMassData() [43]
                0.04    0.00 8000006/10025002     ComputeCentroid(b2Vec2 const*, int) [10]
[56]     0.2    0.05    0.00 10025002         b2Vec2::operator+=(b2Vec2 const&) [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.2    0.05    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.2    0.05    0.00                 b2DynamicTree::AllocateNode() [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.2    0.05    0.00                 b2Vec2::Length() const [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.2    0.05    0.00                 _GLOBAL__sub_I_b2_defaultFilter [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.2    0.03    0.02                 b2Cross(b2Vec2 const&, float) [61]
                0.02    0.00 8009346/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.2    0.04    0.01                 b2World::ClearForces() [62]
                0.01    0.00 8700000/14703094     b2Vec2::SetZero() [102]
-----------------------------------------------
                0.04    0.00 6000000/6000000     b2World::DrawJoint(b2Joint*) [37]
[63]     0.2    0.04    0.00 6000000         debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.2    0.04    0.00                 b2DynamicTree::FreeNode(int) [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.2    0.04    0.00                 b2GrowableStack<int, 256>::~b2GrowableStack() [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.2    0.04    0.00                 b2StackAllocator::Allocate(int) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.2    0.04    0.00                 b2DynamicTree::GetFatAABB(int) const [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.2    0.04    0.00                 b2Body::IsActive() const [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.2    0.04    0.00                 b2Shape::GetType() const [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.2    0.03    0.01                 b2Fixture::Destroy(b2BlockAllocator*) [70]
                0.00    0.01 2000104/4000170     b2PolygonShape::~b2PolygonShape() [125]
                0.00    0.00       2/6           b2CircleShape::~b2CircleShape() [197]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.2    0.04    0.00                 int b2Max<int>(int, int) [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.2    0.03    0.00                 b2Cross(float, b2Vec2 const&) [72]
                0.00    0.00 2020872/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                0.00    0.00 2000000/12600000     b2World::DrawJoint(b2Joint*) [37]
                0.03    0.00 10600000/12600000     b2World::DrawDebugData() [30]
[73]     0.1    0.03    0.00 12600000         b2Color::b2Color(float, float, float) [73]
-----------------------------------------------
                0.00    0.00      40/10017842     b2PrismaticJointDef::b2PrismaticJointDef() [194]
                0.00    0.00     248/10017842     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [181]
                0.00    0.00     274/10017842     b2BodyDef::b2BodyDef() [186]
                0.00    0.00     298/10017842     cs296::dominos_t::dominos_t() [128]
                0.00    0.00     320/10017842     b2PolygonShape::SetAsBox(float, float) [187]
                0.00    0.00     704/10017842     b2PolygonShape::SetAsBox(float, float, b2Vec2 const&, float) [182]
                0.00    0.00    1200/10017842     b2PrismaticJoint::SolvePositionConstraints(b2SolverData const&) [146]
                0.00    0.00   14756/10017842     b2Vec2::operator-() const [151]
                0.01    0.00 2000002/10017842     ComputeCentroid(b2Vec2 const*, int) [10]
                0.02    0.00 8000000/10017842     cs296::dominos_t::check() [28]
[74]     0.1    0.03    0.00 10017842         b2Vec2::Set(float, float) [74]
-----------------------------------------------
                0.00    0.00      50/10000050     b2ContactManager::AddPair(void*, void*) [79]
                0.02    0.00 5000000/10000050     b2ContactManager::Collide() [44]
                0.02    0.00 5000000/10000050     b2World::SolveTOI(b2TimeStep const&) [33]
[75]     0.1    0.03    0.00 10000050         b2Contact::GetFixtureB() [75]
-----------------------------------------------
                0.00    0.00    1470/2001472     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.03    0.00 2000002/2001472     ComputeCentroid(b2Vec2 const*, int) [10]
[76]     0.1    0.03    0.00 2001472         b2Vec2::operator*=(float) [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.1    0.03    0.00                 void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.1    0.03    0.00                 b2PrismaticJoint::GetAnchorA() const [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.1    0.01    0.01                 b2ContactManager::AddPair(void*, void*) [79]
                0.01    0.00 5200350/25204430     b2Fixture::GetBody() [52]
                0.00    0.00     100/1717        b2Body::SetAwake(bool) [101]
                0.00    0.00      50/10000050     b2Contact::GetFixtureB() [75]
                0.00    0.00      50/10000050     b2Contact::GetFixtureA() [82]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.1    0.02    0.00                 b2MulT(b2Rot const&, b2Vec2 const&) [80]
                0.00    0.00   10932/686024043     b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                0.00    0.00 2000000/10700000     cs296::dominos_t::check() [28]
                0.02    0.00 8700000/10700000     b2World::DrawDebugData() [30]
[81]     0.1    0.02    0.00 10700000         b2Body::GetFixtureList() [81]
-----------------------------------------------
                0.00    0.00      50/10000050     b2ContactManager::AddPair(void*, void*) [79]
                0.01    0.00 5000000/10000050     b2ContactManager::Collide() [44]
                0.01    0.00 5000000/10000050     b2World::SolveTOI(b2TimeStep const&) [33]
[82]     0.1    0.02    0.00 10000050         b2Contact::GetFixtureA() [82]
-----------------------------------------------
                0.02    0.00 2000000/2000000     b2World::DrawJoint(b2Joint*) [37]
[83]     0.1    0.02    0.00 2000000         b2Joint::GetBodyA() [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.1    0.02    0.00                 b2BroadPhase::QueryCallback(int) [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.1    0.02    0.00                 b2DynamicTree::DestroyProxy(int) [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.1    0.02    0.00                 b2Body::CreateFixture(b2FixtureDef const*) [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.1    0.02    0.00                 b2World::Dump() [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.1    0.02    0.00                 b2World::Step(float, int, int) [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.1    0.02    0.00                 b2Fixture::CreateProxies(b2BroadPhase*, b2Transform const&) [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.1    0.02    0.00                 b2Fixture::DestroyProxies(b2BroadPhase*) [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.1    0.02    0.00                 b2PolygonShape::GetChildCount() const [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.1    0.02    0.00                 b2Body::ShouldCollide(b2Body const*) const [92]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.1    0.02    0.00                 b2World::IsLocked() const [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.1    0.02    0.00                 b2Fixture::GetMassData(b2MassData*) const [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.1    0.02    0.00                 b2Fixture::IsSensor() const [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.02    0.00                 operator==(b2Vec2 const&, b2Vec2 const&) [96]
-----------------------------------------------
                0.00    0.00    1080/10605936     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [172]
                0.00    0.00    1856/10605936     b2World::SolveTOI(b2TimeStep const&) [33]
                0.00    0.00    3000/10605936     b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [174]
                0.02    0.00 10600000/10605936     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [7]
[97]     0.1    0.02    0.00 10605936         b2Fixture::GetShape() [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.01    0.01                 b2Fixture::b2Fixture() [98]
                0.01    0.00 2000212/4000330     b2Filter::b2Filter() [99]
-----------------------------------------------
                0.01    0.00 2000118/4000330     b2FixtureDef::b2FixtureDef() [127]
                0.01    0.00 2000212/4000330     b2Fixture::b2Fixture() [98]
[99]     0.1    0.02    0.00 4000330         b2Filter::b2Filter() [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.02    0.00                 b2StackAllocator::GetMaxAllocation() const [100]
-----------------------------------------------
                0.00    0.00      36/1717        b2Contact::Update(b2ContactListener*) [143]
                0.00    0.00      51/1717        b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [139]
                0.00    0.00     100/1717        b2ContactManager::AddPair(void*, void*) [79]
                0.01    0.00    1530/1717        b2World::Solve(b2TimeStep const&) [29]
[101]    0.0    0.01    0.00    1717         b2Body::SetAwake(bool) [101]
                0.00    0.00     102/14703094     b2Vec2::SetZero() [102]
-----------------------------------------------
                0.00    0.00       8/14703094     b2CircleShape::b2CircleShape() [198]
                0.00    0.00      40/14703094     b2PolygonShape::SetAsBox(float, float) [187]
                0.00    0.00      80/14703094     b2PrismaticJointDef::b2PrismaticJointDef() [194]
                0.00    0.00      80/14703094     b2PrismaticJoint::b2PrismaticJoint(b2PrismaticJointDef const*) [193]
                0.00    0.00     102/14703094     b2Body::SetAwake(bool) [101]
                0.00    0.00     350/14703094     b2Body::b2Body(b2BodyDef const*, b2World*) [189]
                0.00    0.00    2160/14703094     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [172]
                0.00    0.00 2000000/14703094     b2Body::ResetMassData() [43]
                0.00    0.00 4000274/14703094     b2PolygonShape::b2PolygonShape() [46]
                0.01    0.00 8700000/14703094     b2World::ClearForces() [62]
[102]    0.0    0.01    0.00 14703094         b2Vec2::SetZero() [102]
-----------------------------------------------
                0.00    0.00    3000/12703000     b2Contact::Update(b2ContactListener*) [143]
                0.00    0.00 4000000/12703000     b2World::DrawJoint(b2Joint*) [37]
                0.01    0.00 8700000/12703000     b2World::DrawDebugData() [30]
[103]    0.0    0.01    0.00 12703000         b2Body::GetTransform() const [103]
-----------------------------------------------
                0.00    0.00       6/4000176     b2CircleShape::~b2CircleShape() [197]
                0.01    0.00 4000170/4000176     b2PolygonShape::~b2PolygonShape() [125]
[104]    0.0    0.01    0.00 4000176         b2Shape::~b2Shape() [104]
-----------------------------------------------
                0.00    0.00 1200142/3200142     b2ContactFilter::ShouldCollide(b2Fixture*, b2Fixture*) [131]
                0.01    0.00 2000000/3200142     cs296::dominos_t::check() [28]
[105]    0.0    0.01    0.00 3200142         b2Fixture::GetFilterData() const [105]
-----------------------------------------------
                0.00    0.00       1/4           __static_initialization_and_destruction_0(int, int) [134]
                0.01    0.00       3/4           cs296::base_sim_t::base_sim_t() [126]
[106]    0.0    0.01    0.00       4         b2ContactListener::b2ContactListener() [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.0    0.01    0.00                 b2BroadPhase::BufferMove(int) [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.0    0.01    0.00                 b2BroadPhase::ShiftOrigin(b2Vec2 const&) [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.0    0.01    0.00                 debug_draw_t::DrawPolygon(b2Vec2 const*, int, b2Color const&) [109]
-----------------------------------------------
                                                 <spontaneous>
